Designator,Footprint,Quantity,Value,LCSC Part #
1X3SERVO1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,
"C1, C2, C23",0603,3,100 nF,
"C10, C17",0603,2,12pF,
"C11, C41",0603,2,2.7 pF,
"C12, C4",0603,2,1.2 pF,
"C13, C59, C7, C9",0603,4,2.2 pF,
"C15, C19, C20, C25, C44, C45, C50, C51, C52, C53, C54, C55, C56, C57, C58, C61, C62, C68, C69, C70, C71, C73, C74, C75, C76, C77, C78, C79",0603,28,100nF,
C16,0603,1,4n7,
"C18, C67",0603,2,4.7uF,
"C21, C22",0603,2,1nF,
"C24, C26",0603,2,10nF,
C27,0603,1,100n,
"C28, C32",0603,2,10uF,
C29,0603,1,10u,
C3,0603,1,100 nF,
C30,0603,1,2u2,
C31,0603,1,100u,
C33,0603,1,3.3 nF,
C34,0603,1,22uF,
"C35, C63, C72",0603,3,1uF,
C36,0603,1,1u,
"C42, C60",0603,2,1.8 pF,
C43,0603,1,1.0 pF,
"C5, C6",0603,2,12 pF,
"C64, C65, C66",0603,3,0.1uF,
C8,0603,1,1.5 pF,
D1,0603,1,D_Schottky,
"D15, D16, D17",LED_ROHM_SMLVN6,3,SMLVN6RGB,
"D19, D20, D23, D26",Nexperia_CFP3_SOD-123W,4,PMEG6020ER,
D2,0603,1,PESD5V‑S5ULC,
"D21, D22, D3, D4, D7",0603,5,LED,
D8,SOT-143,1,PRTR5V0U2X,
"F1, F2",0603,2,Polyfuse,
IC1,MSOP10-PAD,1,A3909,
J1,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J11,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J12,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J13, J14, J6, J9",PinHeader_1x03_P2.54mm_Vertical,4,1x3 servo,
"J15, J16","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",2,arming terminal,
"J19, J20","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",2,Screw_Terminal_01x02,
"J2, J7, J8",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Counter_Clockwise,
"J25, J3",LPRS_SMA_CONNECTOR,2,Conn_Coaxial,
J4,HRS_U.FL-R-SMT_01_,1,H9161TR-ND,
J5,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Screw_Term,
L1,0603,1,47 nH,
L2,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,
L3,0603,1,3.9 nH,
L4,0603,1,8.2 nH,
"L5, L8",0603,2,6.8 nH,
"L6, L9",0603,2,10 nH,
"Q1, Q3, Q4, Q5, Q6, Q8, Q9",SOT-23,7,IRLML6402,
Q2,SOT-23,1,DMG2301L,
Q7,SOT-23,1,BSS138,
"R1, R2",0603,2,10 kΩ,
"R11, R12, R54, R55",0603,4,10kΩ,
"R13, R58, R59",0603,3,1k,
"R19, R23, R24, R25, R27, R3, R37, R38, R39, R4, R5, R52, R53, R56, R78, R80",0603,16,10k,
"R20, R21",0603,2,5k1,
"R22, R47",0603,2,330,
"R26, R29, R30",0603,3,R,
"R40, R41, R43, R45, R62, R68, R69, R70, R71",0603,9,100k,
R42,0603,1,430k,
R44,0603,1,350k,
"R46, R63, R64, R65, R66, R67, R79, R81",0603,8,100,
"R6, R7",0603,2,4.7k,
R72,0603,1,2k2,
"R87, R88, R89, R90, R91, R92, R93, R94, R95",0603,9,220,
"SW1, SW2",SW_NR01103ANG13-1C,2,SW_SP3T,
"TP12, TP13",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,QFP50P1200X1200X160-64N,1,MMCU,
U10,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U11,BGM220SC12WGA2R,1,BGM220SC12WGA2R,
U12,SOT-363_SC-70-6,1,PE4259,
U13,TSOT-23-6,1,LTC4412xS6,
U14,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092,
U15,SOT-23-5,1,AP2112K-3.3,
U3,TQFP-64_10x10mm_P0.5mm,1,NMCU,
U4,TQFP-64_10x10mm_P0.5mm,1,TMCU,
U5,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,
U6,Quectel_L96,1,GPS,
U7,QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm,1,SX1276,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,NAND,
U9,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
Y1,Crystal_AT310_D3.0mm_L10.0mm_Vertical,1,Crystal,
Y4,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,32MHz,
