Designator,Mid X,Mid Y,Rotation,Layer
1X3SERVO1,173.45,-47.15,0.0,bottom
BZ2,177.378999,-106.841001,90.0,top
C1,182.705,-67.63,180.0,top
C10,184.381992,-55.688008,315.0,bottom
C11,209.1,-49.85,45.0,bottom
C12,198.531992,-41.231992,225.0,bottom
C13,208.956016,-40.713984,315.0,bottom
C15,197.187501,-109.3425,270.0,bottom
C16,203.805,-32.8,0.0,bottom
C17,188.01,-52.48,135.0,bottom
C18,199.225,-73.2,270.0,top
C19,199.25,-79.225,90.0,top
C2,179.675,-67.62,0.0,top
C21,174.01406,-29.209289,270.0,top
C22,179.90406,-29.209289,270.0,top
C24,182.94406,-29.209289,270.0,top
C25,181.42406,-29.209289,270.0,top
C26,216.125,-85.85,90.0,top
C27,203.795,-34.36,0.0,bottom
C28,187.35,-35.53,270.0,top
C32,190.47,-35.505,270.0,top
C33,192.795,-32.74,0.0,top
C34,197.08,-35.0,90.0,top
C35,200.12,-35.005,90.0,top
C36,205.89,-34.595,270.0,top
C37,209.3775,-94.215,270.0,top
C38,207.8675,-94.215,90.0,top
C4,177.225,-78.84,180.0,top
C40,212.5175,-93.46,180.0,top
C44,193.2,-73.973782,90.0,top
C45,193.65,-71.0,90.0,top
C46,205.737501,-107.1,90.0,top
C47,213.025,-102.2125,0.0,top
C48,213.025,-103.7375,0.0,top
C49,205.6375,-110.1875,180.0,top
C5,186.698008,-40.142458,315.0,bottom
C50,206.407107,-63.524999,270.0,top
C51,208.8,-65.5,180.0,top
C6,185.388008,-51.858008,45.0,bottom
C63,187.271992,-64.958008,315.0,bottom
C64,189.431992,-67.098008,315.0,bottom
C65,185.92,-63.44,315.0,bottom
C66,184.846016,-62.363984,315.0,bottom
C67,188.351992,-66.028008,315.0,bottom
C7,176.791992,-49.178008,135.0,bottom
C72,177.891992,-50.258008,135.0,bottom
C77,177.9,-40.191992,225.0,bottom
C8,199.621992,-40.151992,225.0,bottom
C9,196.881992,-45.121992,315.0,top
D1,199.225,-76.2125,90.0,top
D15,170.0115,-95.5575,270.0,bottom
D16,170.0215,-90.39,90.0,bottom
D17,170.0315,-85.204499,90.0,bottom
D18,178.67,-25.2075,0.0,bottom
D20,188.9475,-32.87,180.0,top
D21,199.3475,-32.74,180.0,top
D22,206.6775,-36.88,0.0,top
D26,199.7025,-30.84,0.0,top
D3,177.67,-36.95,0.0,top
D4,209.7,-36.0625,270.0,top
D7,206.779085,-33.530917,300.0,bottom
D8,199.77,-36.76,45.0,bottom
