Designator,Footprint,Quantity,Value,LCSC Part #
1X3SERVO1,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,
"C1, C2, C23",0603,3,100 nF,
"C10, C17",0603,2,12pF,
"C11, C12, C13, C41, C42, C43, C5, C59, C6, C60, C7, C8, C9, L4, L5, L6, L8, L9",0603,18,TBD,
C14,0603,1,0.1µF,
"C15, C19, C20, C25, C44, C45, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C61, C62, C68, C69, C70, C71, C73, C74, C75, C76, C77, C78",0603,29,100nF,
"C16, C37, C39",0603,3,4n7,
"C18, C67",0603,2,4.7uF,
"C21, C22",0603,2,1nF,
"C24, C26",0603,2,10nF,
"C27, C38, C40",0603,3,100n,
"C28, C32",0603,2,10uF,
C29,0603,1,10u,
C3,0603,1,100 nF,
C30,0603,1,2u2,
C31,0603,1,100u,
C33,0603,1,3.3 nF,
C34,0603,1,22uF,
"C35, C63, C72",0603,3,1uF,
C36,0603,1,1u,
C4,0603,1,1.2 pF,
"C46, C47",0603,2,22pF,
"C64, C65, C66",0603,3,0.1uF,
D1,0603,1,D_Schottky,
"D10, D12, D8",SOT-143,3,PRTR5V0U2X,
"D11, D21, D22, D3, D4, D5, D6, D7, D9",0603,9,LED,
"D15, D16, D17",LED_ROHM_SMLVN6,3,SMLVN6RGB,
"D19, D20, D23, D26, D27, D28",Nexperia_CFP3_SOD-123W,6,PMEG6020ER,
D2,0603,1,PESD5V‑S5ULC,
"F1, F2, F3, F4",0603,4,Polyfuse,
IC1,MSOP10-PAD,1,A3909,
J1,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"J11, J23, J24",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Receptacle_USB2.0_16P,
J12,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J13, J14, J6, J9",PinHeader_1x03_P2.54mm_Vertical,4,1x3 servo,
"J15, J16, J17, J18","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",4,arming terminal,
"J19, J20, J21, J22","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",4,Screw_Terminal_01x02,
"J2, J7, J8",PinSocket_2x03_P2.54mm_Vertical,3,Conn_02x03_Counter_Clockwise,
"J25, J3",LPRS_SMA_CONNECTOR,2,Conn_Coaxial,
J4,HRS_U.FL-R-SMT_01_,1,H9161TR-ND,
J5,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Screw_Term,
L1,0603,1,47 nH,
L2,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,
L3,0603,1,3.9 nH,
"Q1, Q10, Q11, Q3, Q4, Q5, Q6, Q8, Q9",SOT-23,9,IRLML6402,
Q2,SOT-23,1,DMG2301L,
Q7,SOT-23,1,BSS138,
"R1, R2",0603,2,10 kΩ,
"R10, R11, R12, R54, R55, R8, R9",0603,7,10kΩ,
"R13, R58, R59, R60, R61",0603,5,1k,
"R19, R23, R24, R25, R27, R3, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R5, R52, R53, R56, R78, R80, R82, R84",0603,24,10k,
"R20, R21, R48, R49, R86, R96",0603,6,5k1,
"R22, R47, R50, R97",0603,4,330,
"R26, R28, R29, R30",0603,4,R,
"R40, R41, R43, R45, R62, R68, R69, R70, R71",0603,9,100k,
R42,0603,1,430k,
R44,0603,1,350k,
"R46, R63, R64, R65, R66, R67, R79, R81, R83, R85",0603,10,100,
"R6, R7",0603,2,4.7k,
R72,0603,1,2k2,
"R87, R88, R89, R90, R91, R92, R93, R94, R95",0603,9,220,
"TP12, TP13, TP14, TP15, TP16, TP17",TestPoint_Pad_1.0x1.0mm,6,TestPoint,
U1,QFP50P1200X1200X160-64N,1,MMCU,
U10,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U11,BGM220SC12WGA2R,1,BGM220SC12WGA2R,
U12,SOT-363_SC-70-6,1,PE4259,
U13,TSOT-23-6,1,LTC4412xS6,
U14,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092,
U15,SOT-23-5,1,AP2112K-3.3,
U2,IC_BNO086,1,IMU,
U3,TQFP-64_10x10mm_P0.5mm,1,NMCU,
U4,TQFP-64_10x10mm_P0.5mm,1,TMCU,
U5,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,
U6,Quectel_L96,1,GPS,
U7,QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm,1,SX1276,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,NAND,
U9,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm,1,Crystal,
Y2,Crystal_SMD_0603-2Pin_6.0x3.5mm,1,32.768kHz,
Y4,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,32MHz,
