Designator,Mid X,Mid Y,Rotation,Layer
1X3SERVO1,77.69,-69.875,0.0,bottom
BZ1,89.93,-32.61,0.0,bottom
C1,117.6,-97.228567,270.0,bottom
C10,99.471992,-55.831992,135.0,top
C11,81.8,-91.0,0.0,bottom
C12,84.1,-88.7,270.0,bottom
C13,86.5,-83.35,180.0,bottom
C14,97.535,-76.935,90.0,top
C15,92.445,-87.33,0.0,top
C16,90.655,-23.995,270.0,top
C17,98.1,-62.47,315.0,top
C18,99.46,-100.69,180.0,top
C19,99.44,-99.17,180.0,top
C2,117.6,-100.25,90.0,bottom
C20,105.6,-96.5,0.0,bottom
C21,86.35,-95.25,270.0,bottom
C22,81.15,-94.45,0.0,bottom
C23,88.645,-112.2,0.0,top
C24,94.635,-78.2075,0.0,top
C25,94.65,-76.6675,0.0,top
C26,90.72,-76.6675,180.0,top
C27,91.605,-26.275,180.0,top
C28,108.524348,-41.4225,0.0,top
C29,135.475,-36.9125,180.0,top
C3,113.75,-95.8,0.0,bottom
C30,130.475,-45.3125,180.0,top
C31,130.475,-46.9625,180.0,top
C32,104.414348,-43.2025,180.0,top
C33,104.534348,-48.3625,180.0,top
C34,100.429348,-42.4525,90.0,top
C35,97.309348,-42.4325,90.0,top
C36,97.044348,-49.6625,180.0,top
C37,103.5375,-23.735,270.0,top
C38,104.2475,-26.02,180.0,top
C39,115.425,-23.505,270.0,top
C4,112.7,-107.45,0.0,bottom
C40,116.35,-25.825,180.0,top
C41,86.5,-87.95,180.0,bottom
C42,85.75,-90.25,270.0,bottom
C43,84.1,-96.8,270.0,bottom
C44,99.84,-111.86,90.0,top
C45,98.105,-114.125,0.0,top
C46,104.595,-77.605,270.0,top
C47,101.945,-73.295,90.0,top
C48,102.865,-77.72,270.0,top
C49,100.585,-77.675,270.0,top
C5,99.275,-86.68,180.0,bottom
C50,88.66,-97.0485,180.0,top
C51,88.655,-98.5985,180.0,top
C52,90.655,-79.7875,0.0,top
C53,94.025,-81.3375,0.0,top
C54,93.99,-82.8675,0.0,top
C55,93.745,-79.7675,0.0,top
C56,90.15,-83.2175,270.0,top
C57,90.695,-78.2375,180.0,top
C58,81.66,-113.345,90.0,top
C59,83.35,-99.1,180.0,bottom
C6,99.7,-83.9375,270.0,bottom
C60,83.35,-103.7,180.0,bottom
C61,117.841992,-59.611992,315.0,top
C62,119.73,-62.2,135.0,top
C63,104.541992,-59.198008,225.0,top
C64,109.021992,-55.488008,45.0,top
C65,105.89,-60.58,45.0,top
C66,103.97,-62.22,315.0,top
C67,103.031992,-57.558008,225.0,top
C68,113.475,-58.59,180.0,top
C69,106.865,-65.92,0.0,top
C7,81.8,-78.75,0.0,bottom
C70,116.841992,-70.448008,45.0,top
C71,109.83,-73.04,180.0,top
C72,93.538008,-59.701992,225.0,top
C73,89.615,-56.78,180.0,top
C74,89.595,-55.23,180.0,top
C75,86.24,-53.94,0.0,top
C76,86.24,-55.51,0.0,top
C77,86.255,-57.05,0.0,top
C78,36.405,-86.41,0.0,top
C8,82.55,-81.05,270.0,bottom
C9,81.8,-86.4,0.0,bottom
D1,95.26,-99.47,0.0,top
D10,100.564277,-27.307437,135.0,top
D11,119.235,-26.575,270.0,top
D12,113.072437,-27.788223,135.0,top
D15,78.96,-18.0675,0.0,bottom
D16,78.92,-21.775,0.0,bottom
D17,78.92,-26.64,0.0,bottom
D19,103.499348,-41.3125,180.0,top
D2,107.2,-98.05,0.0,bottom
D20,109.559348,-44.6125,90.0,top
D21,99.569348,-39.9725,180.0,top
D22,101.659348,-49.615,90.0,top
D23,107.319348,-44.615,270.0,top
D26,92.065,-29.685,180.0,top
D27,104.3675,-29.43,180.0,top
D28,117.3125,-29.295,180.0,top
D3,116.3475,-112.96,90.0,top
D4,116.3875,-100.2,90.0,top
D5,116.4575,-87.33,90.0,top
D6,116.4825,-55.8275,90.0,top
D7,94.325,-27.015,270.0,top
D8,88.145,-27.485,135.0,top
D9,106.6975,-26.7775,270.0,top
F1,119.8775,-114.0,270.0,top
F2,119.8575,-101.0875,270.0,top
F3,119.8975,-88.13,270.0,top
F4,120.0025,-56.9375,270.0,top
IC1,86.38,-114.53,180.0,top
J1,119.35,-32.92,270.0,bottom
J10,123.45,-43.432882,90.0,bottom
J11,88.17,-20.26,180.0,bottom
J12,123.78,-70.55,0.0,bottom
J13,77.69,-96.175,0.0,bottom
J14,77.69,-87.42,0.0,bottom
J15,122.9925,-106.02,270.0,bottom
J16,123.0125,-92.75,270.0,bottom
J17,123.0,-79.49,270.0,bottom
J18,123.045,-50.302882,270.0,bottom
J19,122.9925,-112.63,270.0,bottom
J2,79.04,-35.52,0.0,bottom
J20,123.0125,-99.37,270.0,bottom
J21,123.0125,-86.12,270.0,bottom
J22,123.065,-56.932882,270.0,bottom
J23,100.7,-20.2,180.0,bottom
J24,112.97,-20.25,180.0,bottom
J25,111.9,-112.06,270.0,bottom
J3,104.53,-112.02,0.0,bottom
J4,82.65,-106.15,0.0,bottom
J5,78.505,-112.65,90.0,bottom
J6,77.68,-104.945,0.0,bottom
J7,79.1,-53.3,180.0,bottom
J8,79.1,-44.41,180.0,bottom
J9,77.68,-78.665,0.0,bottom
L1,105.6,-99.6,180.0,bottom
L2,140.2,-44.25,270.0,top
L3,111.9,-105.05,270.0,bottom
L4,82.55,-76.45,270.0,bottom
L5,82.55,-84.1,270.0,bottom
L6,82.55,-88.7,270.0,bottom
L8,85.75,-85.65,270.0,bottom
L9,84.1,-101.4,270.0,bottom
Q1,81.3425,-88.355,90.0,top
